source_table,source_rows,group_by,group_value,column,n,mean,median,min,max
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,vertices,1,93494.0,93494.0,93494.0,93494.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,faces,1,65600.0,65600.0,65600.0,65600.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,component_count,1,13947.0,13947.0,13947.0,13947.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,welded_component_count,1,15.0,15.0,15.0,15.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,largest_occupancy_component_ratio_6n,1,0.919866,0.919866,0.919866,0.919866
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,occupancy_component_count_6n,1,62.0,62.0,62.0,62.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,surface_area_est,1,1.677222,1.677222,1.677222,1.677222
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ifs_branch_tree_baseline,bbox_volume,1,0.535471,0.535471,0.535471,0.535471
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,vertices,1,32426.0,32426.0,32426.0,32426.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,faces,1,20736.0,20736.0,20736.0,20736.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,component_count,1,5845.0,5845.0,5845.0,5845.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,welded_component_count,1,15.0,15.0,15.0,15.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,largest_occupancy_component_ratio_6n,1,0.115179,0.115179,0.115179,0.115179
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,occupancy_component_count_6n,1,315.0,315.0,315.0,315.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,surface_area_est,1,2.077018,2.077018,2.077018,2.077018
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,lsystem_branch_baseline,bbox_volume,1,0.468478,0.468478,0.468478,0.468478
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,vertices,1,237047.0,237047.0,237047.0,237047.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,faces,1,180132.0,180132.0,180132.0,180132.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,component_count,1,35646.0,35646.0,35646.0,35646.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,welded_component_count,1,1.0,1.0,1.0,1.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,largest_occupancy_component_ratio_6n,1,1.0,1.0,1.0,1.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,occupancy_component_count_6n,1,1.0,1.0,1.0,1.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,surface_area_est,1,2.081735,2.081735,2.081735,2.081735
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_coral_octopus,bbox_volume,1,0.585781,0.585781,0.585781,0.585781
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,ours_pyrite_lattice,vertices,1,294399.0,294399.0,294399.0,294399.0
